[-0.01867315173149109, 3.477810605545528e-05]
[-0.018185321241617203, -0.0009609973640181124]
[-0.02121530845761299, -0.00040468384395353496]
[-0.017205622047185898, -0.0013822768814861774]
[-0.01995719224214554, -0.0013470578705891967]
[-0.018597891554236412, -0.0010178126394748688]
[-0.0206715427339077, -0.0007845881045795977]
[-0.018486885353922844, -0.0019340523285791278]
[-0.017708973959088326, -0.0016302777221426368]
[-0.019273988902568817, -0.0024113531690090895]
[-0.01974465698003769, -0.0023861632216721773]
[-0.02036421373486519, -0.003246997483074665]
[-0.020975414663553238, -0.002697350922971964]
[-0.021876854822039604, -0.001180276507511735]
[-0.017331555485725403, -0.003215595381334424]
[-0.01990482024848461, -0.0026806925889104605]
[-0.019069375470280647, -0.003727658186107874]
[-0.01960691064596176, -0.0024462321307510138]
[-0.019849620759487152, -0.003386519383639097]
[-0.01796257495880127, -0.004056819248944521]
[-0.018858660012483597, -0.0039053470827639103]
[-0.017189953476190567, -0.004739209543913603]
[-0.019152799621224403, -0.004974167328327894]
[-0.020709047093987465, -0.007311400957405567]
[-0.01839366927742958, -0.0060552735812962055]
[-0.018526751548051834, -0.0063590542413294315]
[-0.019635014235973358, -0.0074052088893949986]
[-0.020169924944639206, -0.008264794014394283]
[-0.018656056374311447, -0.008410937152802944]
[-0.017528023570775986, -0.007749168202280998]
[-0.02133624069392681, -0.008073266595602036]
[-0.018598826602101326, -0.010549075901508331]
[-0.017860298976302147, -0.009687949903309345]
[-0.01885273866355419, -0.009515680372714996]
[-0.019302502274513245, -0.009454271756112576]
[-0.019359827041625977, -0.011310350149869919]
[-0.01846756413578987, -0.010424316860735416]
[-0.01746525429189205, -0.010862922295928001]
